Customer_ID,First_Name,Last_Name,Gender,Age,Date_of_Birth,Marital_Status,Education,Occupation,Employment_Status,Annual_Income,City,State,Region,Branch_ID,Branch_Name,Account_Type,Account_Open_Date,Customer_Tenure_Years,Account_Balance,Savings_Balance,Current_Account_Balance,Number_of_Products,Credit_Card,Debit_Card,Online_Banking,Mobile_Banking,Credit_Score,Credit_Score_Category,Existing_Loans,Outstanding_Debt,Debt_to_Income_Ratio,Loan_ID,Loan_Type,Loan_Application_Date,Loan_Amount,Interest_Rate,Loan_Tenure_Months,Monthly_Installment,Loan_Status,Approval_Date,Loan_Purpose,Risk_Category,Default_Flag,Default_Probability,Customer_Segment,Customer_Status,Last_Transaction_Date,Age_Group,Income_Group,Balance_Category,Loan_Amount_Category,Customer_Tenure_Group,Debt_to_Income_Category,Customer_Value_Category,Loan_Approval_Flag,Monthly_Income,Estimated_Annual_Interest
CUST-12301,Stephanie,Lopez,Female,38,1985-10-08,Married,Bachelor,Management,Salaried,75800.0,Boston,MA,Northeast,BR-002,Boston Harbor Branch,Money Market,2021-07-01,3.0,14503.88,10253.23,4250.65,2,Yes,Yes,Yes,Yes,787,Very Good (740-799),2,12158.32,0.1604,LN-102301,Auto Loan,2022-06-17,32900.0,6.36,60,641.57,Rejected,,New Vehicle,Low Risk,0,0.008,Standard,Active,2024-06-01,36-50,Middle ($60k-$100k),Moderate ($5k-$25k),Medium ($25k-$75k),Established (3-7 yrs),Low (<20%),Silver,0,6316.67,2092.44
CUST-25406,Richard,Walker,Male,30,1993-08-14,Single,Master,Professional,Salaried,92500.0,Minneapolis,MN,Midwest,BR-006,Minneapolis Gateway Branch,Savings,2020-04-18,4.2,85616.09,62422.32,23193.77,3,Yes,Yes,Yes,Yes,692,Good (670-739),1,32162.25,0.3477,LN-115406,Home Loan,2022-03-30,362500.0,6.65,360,2327.12,Approved,2022-04-09,Home Purchase,Low Risk,0,0.0163,Premium,Active,2024-06-11,26-35,Middle ($60k-$100k),High ($75k-$150k),Jumbo (>=$200k),Established (3-7 yrs),Moderate (20-35%),Gold,1,7708.33,24106.25
CUST-14149,Emma,Adams,Female,25,1999-03-30,Married,High School,Services,Salaried,29500.0,San Francisco,CA,West,BR-011,San Francisco Tech Branch,Checking,2023-03-14,1.3,5462.56,4335.82,1126.74,4,No,Yes,No,No,709,Good (670-739),1,13192.4,0.4472,LN-104149,Business Loan,2022-05-26,32400.0,9.62,36,1039.69,Approved,2022-06-07,Business Expansion,Medium Risk,0,0.0611,Emerging,Active,2024-06-15,18-25,Low (<$35k),Moderate ($5k-$25k),Medium ($25k-$75k),Developing (1-3 yrs),Manageable (36-49%),Bronze,1,2458.33,3116.88
CUST-16418,Deborah,Allen,Female,39,1985-03-17,Married,Master,Technology,Self-Employed,75100.0,Minneapolis,MN,Midwest,BR-006,Minneapolis Gateway Branch,Checking,2021-04-19,3.2,42807.11,25961.5,16845.61,3,Yes,Yes,No,No,749,Very Good (740-799),2,21073.06,0.2806,LN-106418,Personal Loan,2023-03-26,14200.0,11.28,36,466.77,Approved,2023-04-08,Home Renovation,Low Risk,0,0.0237,Premium,Active,2024-06-01,36-50,Middle ($60k-$100k),Healthy ($25k-$75k),Small ($10k-$25k),Established (3-7 yrs),Moderate (20-35%),Silver,1,6258.33,1601.76
CUST-19164,David,Brown,Male,32,1992-02-27,Single,Bachelor,Technology,Salaried,98900.0,Charlotte,NC,South,BR-009,Charlotte Queen City Branch,Savings,2023-10-19,0.7,28296.33,20508.22,7788.11,3,Yes,No,Yes,No,667,Fair (580-669),0,21906.35,0.2215,LN-109164,Business Loan,2022-01-17,141700.0,8.82,36,4494.16,Approved,2022-01-29,Working Capital,Low Risk,0,0.0411,Premium,Active,2024-06-05,26-35,Middle ($60k-$100k),Healthy ($25k-$75k),Large ($75k-$200k),New (<1 yr),Moderate (20-35%),Gold,1,8241.67,12497.94
CUST-19098,Mark,Walker,Male,46,1977-11-11,Married,Bachelor,Management,Salaried,136800.0,Detroit,MI,Midwest,BR-005,Detroit Downtown Branch,Checking,2016-06-30,8.0,41529.55,25633.34,15896.21,3,Yes,Yes,Yes,Yes,755,Very Good (740-799),1,31395.6,0.2295,LN-109098,Home Loan,2021-03-03,396700.0,4.34,360,1972.48,Approved,2021-03-15,Home Purchase,Low Risk,0,0.008,Premium,Active,2024-06-26,36-50,Upper-Middle ($100k-$150k),Healthy ($25k-$75k),Jumbo (>=$200k),Loyal (7-10 yrs),Moderate (20-35%),Gold,1,11400.0,17216.78
CUST-27624,Nancy,Moore,Female,56,1967-11-23,Married,Doctorate,Technology,Salaried,119500.0,Charlotte,NC,South,BR-009,Charlotte Queen City Branch,Checking,2021-08-06,2.9,36067.14,20441.25,15625.89,3,Yes,Yes,Yes,Yes,693,Good (670-739),2,35025.45,0.2931,LN-117624,Education Loan,2024-01-19,62000.0,7.23,120,727.24,Approved,2024-01-24,Undergraduate Studies,Low Risk,0,0.0255,Premium,Active,2024-06-21,51-65,Upper-Middle ($100k-$150k),Healthy ($25k-$75k),Medium ($25k-$75k),Developing (1-3 yrs),Moderate (20-35%),Gold,1,9958.33,4482.6
CUST-14187,Jacob,Gonzalez,Male,26,1997-11-10,Married,Associate,Administrative,Contract,56500.0,Dallas,TX,South,BR-008,Dallas Commercial Branch,Checking,2022-03-13,2.3,23754.97,14399.48,9355.49,2,Yes,Yes,Yes,No,664,Fair (580-669),2,26521.1,0.4694,LN-104187,Personal Loan,2022-06-13,12100.0,13.25,12,1082.16,Pending,,Medical Expenses,High Risk,0,0.1734,Emerging,Active,2024-05-29,26-35,Lower-Middle ($35k-$60k),Moderate ($5k-$25k),Small ($10k-$25k),Developing (1-3 yrs),Manageable (36-49%),Silver,0,4708.33,1603.25
CUST-20505,Elizabeth,Baker,Female,45,1978-08-23,Married,Associate,Skilled Labor,Salaried,57600.0,Dallas,TX,South,BR-008,Dallas Commercial Branch,Checking,2021-12-30,2.5,13595.32,8129.38,5465.94,3,Yes,No,No,Yes,713,Good (670-739),2,20223.36,0.3511,LN-110505,Personal Loan,2021-07-14,12300.0,11.85,48,323.0,Rejected,,Debt Consolidation,Medium Risk,0,0.0539,Emerging,Active,2024-05-21,36-50,Lower-Middle ($35k-$60k),Moderate ($5k-$25k),Small ($10k-$25k),Developing (1-3 yrs),Manageable (36-49%),Silver,0,4800.0,1457.55
CUST-22880,Jason,Wright,Male,43,1980-09-30,Married,Doctorate,Management,Salaried,169600.0,Minneapolis,MN,Midwest,BR-006,Minneapolis Gateway Branch,Checking,2020-03-13,4.3,22589.55,12917.84,9671.71,5,Yes,Yes,No,Yes,764,Very Good (740-799),2,18893.44,0.1114,LN-112880,Home Loan,2024-01-21,508500.0,4.4,360,2546.37,Approved,2024-02-01,Home Purchase,Low Risk,0,0.008,Premium,Active,2024-06-14,36-50,High (>=$150k),Moderate ($5k-$25k),Jumbo (>=$200k),Established (3-7 yrs),Low (<20%),Platinum,1,14133.33,22374.0
