Customer_ID,First_Name,Last_Name,Gender,Age,Age_Group,Date_of_Birth,Marital_Status,Education,Occupation,Employment_Status,Customer_Segment,Customer_Value_Category,Customer_Status,Credit_Card,Debit_Card,Online_Banking,Mobile_Banking
CUST-12301,Stephanie,Lopez,Female,38,36-50,1985-10-08,Married,Bachelor,Management,Salaried,Standard,Silver,Active,Yes,Yes,Yes,Yes
CUST-25406,Richard,Walker,Male,30,26-35,1993-08-14,Single,Master,Professional,Salaried,Premium,Gold,Active,Yes,Yes,Yes,Yes
CUST-14149,Emma,Adams,Female,25,18-25,1999-03-30,Married,High School,Services,Salaried,Emerging,Bronze,Active,No,Yes,No,No
CUST-16418,Deborah,Allen,Female,39,36-50,1985-03-17,Married,Master,Technology,Self-Employed,Premium,Silver,Active,Yes,Yes,No,No
CUST-19164,David,Brown,Male,32,26-35,1992-02-27,Single,Bachelor,Technology,Salaried,Premium,Gold,Active,Yes,No,Yes,No
CUST-19098,Mark,Walker,Male,46,36-50,1977-11-11,Married,Bachelor,Management,Salaried,Premium,Gold,Active,Yes,Yes,Yes,Yes
CUST-27624,Nancy,Moore,Female,56,51-65,1967-11-23,Married,Doctorate,Technology,Salaried,Premium,Gold,Active,Yes,Yes,Yes,Yes
CUST-14187,Jacob,Gonzalez,Male,26,26-35,1997-11-10,Married,Associate,Administrative,Contract,Emerging,Silver,Active,Yes,Yes,Yes,No
CUST-20505,Elizabeth,Baker,Female,45,36-50,1978-08-23,Married,Associate,Skilled Labor,Salaried,Emerging,Silver,Active,Yes,No,No,Yes
CUST-22880,Jason,Wright,Male,43,36-50,1980-09-30,Married,Doctorate,Management,Salaried,Premium,Platinum,Active,Yes,Yes,No,Yes
CUST-12951,Cynthia,Robinson,Female,20,18-25,2004-01-27,Single,Doctorate,Professional,Self-Employed,Premium,Gold,Active,No,Yes,Yes,Yes
CUST-13482,Melissa,Thomas,Female,42,36-50,1982-02-12,Married,High School,Skilled Labor,Salaried,Standard,Bronze,Active,No,Yes,No,Yes
CUST-27711,Mark,Scott,Male,52,51-65,1971-10-03,Divorced,Bachelor,Sales,Salaried,Premium,Gold,Active,Yes,Yes,Yes,Yes
CUST-17772,Nicole,Lee,Female,32,26-35,1992-03-08,Single,High School,Services,Unemployed,Standard,Bronze,Active,No,Yes,Yes,Yes
CUST-21998,Scott,Johnson,Male,44,36-50,1979-08-11,Married,Master,Healthcare,Salaried,Premium,Platinum,Active,Yes,Yes,Yes,Yes
CUST-24203,Melissa,Martinez,Female,49,36-50,1975-05-22,Married,Associate,Sales,Salaried,Premium,Gold,Dormant,Yes,Yes,Yes,Yes
CUST-10539,Frank,Hill,Male,62,51-65,1961-12-18,Divorced,Bachelor,Finance,Salaried,Premium,Gold,Dormant,Yes,Yes,Yes,Yes
CUST-29663,Thomas,Martinez,Male,42,36-50,1982-05-22,Married,Bachelor,Sales,Self-Employed,Standard,Silver,Active,Yes,Yes,Yes,Yes
CUST-15690,Jennifer,Sanchez,Female,20,18-25,2003-09-14,Single,High School,Skilled Labor,Salaried,Emerging,Bronze,Active,Yes,Yes,Yes,Yes
CUST-20679,Matthew,Rodriguez,Male,55,51-65,1969-01-19,Divorced,Bachelor,Professional,Contract,Premium,Platinum,Active,Yes,Yes,Yes,No
CUST-23212,Timothy,Allen,Male,46,36-50,1978-02-01,Married,Doctorate,Professional,Salaried,Premium,Gold,Active,Yes,Yes,Yes,No
CUST-18405,James,Nelson,Male,44,36-50,1979-09-07,Single,Bachelor,Professional,Salaried,High Value,Platinum,Active,Yes,Yes,Yes,Yes
CUST-14743,Alexander,Lopez,Male,36,36-50,1987-08-14,Single,Bachelor,Professional,Salaried,High Value,Gold,Active,Yes,Yes,No,No
CUST-19052,Debra,Baker,Female,34,26-35,1989-09-07,Married,Bachelor,Technology,Salaried,Emerging,Silver,Active,No,Yes,Yes,Yes
CUST-23421,Jennifer,Thompson,Female,51,51-65,1972-10-20,Married,Bachelor,Sales,Salaried,Premium,Gold,Active,No,Yes,Yes,Yes
CUST-12688,Alexander,Brown,Male,23,18-25,2001-03-13,Single,High School,Services,Salaried,Emerging,Bronze,Active,Yes,Yes,Yes,Yes
CUST-19799,Gregory,Clark,Male,18,18-25,2006-05-31,Married,Bachelor,Professional,Salaried,High Risk,Silver,Active,No,No,No,No
CUST-11078,Karen,Robinson,Female,22,18-25,2002-03-23,Single,Master,Management,Salaried,Premium,Gold,Active,Yes,Yes,No,No
CUST-21228,Emma,Walker,Female,52,51-65,1972-01-05,Divorced,Bachelor,Professional,Salaried,Premium,Platinum,Active,Yes,Yes,Yes,Yes
CUST-10352,Amanda,Martinez,Female,53,51-65,1970-10-30,Married,High School,Logistics,Salaried,Emerging,Silver,Active,Yes,Yes,Yes,Yes
CUST-28492,Steven,Lewis,Male,34,26-35,1989-11-25,Single,Associate,Services,Contract,Standard,Silver,Active,Yes,No,Yes,Yes
CUST-16138,Melissa,Rivera,Female,50,36-50,1974-06-12,Married,Master,Technology,Salaried,Premium,Platinum,Active,Yes,Yes,No,No
CUST-22291,Paul,Johnson,Male,37,36-50,1987-06-27,Married,Master,Management,Self-Employed,Standard,Gold,Active,No,Yes,Yes,Yes
CUST-27253,Charles,Scott,Male,40,36-50,1983-12-20,Widowed,Bachelor,Professional,Salaried,Premium,Gold,Active,Yes,Yes,Yes,Yes
CUST-17713,Mark,Rodriguez,Male,57,51-65,1966-08-18,Married,Bachelor,Technology,Salaried,Premium,Gold,Active,Yes,Yes,Yes,Yes
CUST-27084,Cynthia,Torres,Female,53,51-65,1971-02-04,Married,Associate,Healthcare,Contract,Emerging,Silver,Inactive,Yes,No,Yes,No
CUST-21342,Jason,Miller,Male,22,18-25,2001-09-05,Single,Bachelor,Professional,Salaried,Standard,Silver,Active,Yes,Yes,Yes,No
CUST-13278,Kenneth,Davis,Male,46,36-50,1977-12-21,Married,High School,Administrative,Salaried,Standard,Bronze,Active,Yes,Yes,Yes,Yes
CUST-11633,Melissa,Williams,Female,57,51-65,1967-03-23,Married,Master,Professional,Contract,Standard,Platinum,Active,Yes,No,Yes,Yes
CUST-22055,Jennifer,Jones,Female,31,26-35,1993-01-11,Single,High School,Services,Salaried,Standard,Bronze,Active,No,Yes,Yes,Yes
CUST-23982,Dorothy,Taylor,Female,51,51-65,1972-10-09,Divorced,High School,Sales,Unemployed,Standard,Bronze,Active,Yes,No,Yes,Yes
CUST-10386,Dorothy,Robinson,Female,54,51-65,1969-12-31,Widowed,Bachelor,Management,Self-Employed,High Value,Platinum,Active,Yes,Yes,No,Yes
CUST-21283,Stephanie,Moore,Female,55,51-65,1968-12-14,Divorced,Bachelor,Sales,Salaried,Premium,Gold,Active,Yes,Yes,Yes,Yes
CUST-17984,Joshua,Jackson,Male,40,36-50,1984-03-15,Divorced,High School,Administrative,Salaried,Standard,Silver,Active,Yes,Yes,Yes,Yes
CUST-15199,Justin,Williams,Male,55,51-65,1968-08-19,Divorced,Associate,Services,Salaried,Premium,Gold,Active,No,Yes,Yes,Yes
CUST-23737,Amy,Brown,Female,47,36-50,1976-07-14,Married,Associate,Skilled Labor,Salaried,Premium,Silver,Active,Yes,Yes,Yes,Yes
CUST-20828,Mary,Williams,Female,57,51-65,1967-05-04,Married,Bachelor,Sales,Salaried,Premium,Gold,Inactive,Yes,Yes,Yes,Yes
CUST-16408,Matthew,Ramirez,Male,18,18-25,2006-02-09,Single,Master,Professional,Contract,Premium,Silver,Active,Yes,Yes,Yes,Yes
CUST-11625,Joshua,Williams,Male,61,51-65,1963-03-19,Married,Master,Management,Salaried,Premium,Gold,Active,No,Yes,Yes,Yes
CUST-26374,Jonathan,Ramirez,Male,53,51-65,1971-03-06,Single,Master,Management,Salaried,Premium,Platinum,Active,Yes,Yes,Yes,Yes
CUST-19086,Benjamin,Taylor,Male,41,36-50,1983-02-02,Single,Bachelor,Management,Salaried,Premium,Gold,Inactive,Yes,Yes,Yes,Yes
CUST-15643,George,Lee,Male,18,18-25,2006-06-02,Single,Doctorate,Professional,Self-Employed,Standard,Gold,Active,Yes,Yes,Yes,Yes
CUST-23291,Mary,Williams,Female,20,18-25,2003-09-30,Single,Associate,Services,Salaried,Emerging,Bronze,Active,No,Yes,Yes,Yes
CUST-12958,Carol,Wilson,Female,27,26-35,1997-05-05,Single,Bachelor,Technology,Salaried,Standard,Silver,Active,Yes,Yes,Yes,Yes
CUST-23413,Brandon,Miller,Male,50,36-50,1973-12-02,Married,Bachelor,Finance,Salaried,Standard,Silver,Active,Yes,Yes,Yes,No
CUST-19223,Donna,Adams,Female,67,65+,1956-12-11,Married,High School,Services,Unemployed,Standard,Silver,Dormant,No,Yes,Yes,No
CUST-15806,Joseph,Gonzalez,Male,58,51-65,1966-04-03,Married,High School,Administrative,Salaried,Standard,Silver,Active,No,Yes,Yes,Yes
CUST-19882,Helen,Martin,Female,51,51-65,1972-10-05,Married,Bachelor,Finance,Self-Employed,Premium,Gold,Active,Yes,Yes,Yes,No
CUST-14050,Andrew,Martin,Male,33,26-35,1990-07-10,Single,Associate,Healthcare,Salaried,Standard,Bronze,Active,Yes,Yes,Yes,Yes
CUST-12154,Emily,Johnson,Female,50,36-50,1973-07-25,Divorced,High School,Skilled Labor,Salaried,Standard,Silver,Active,No,No,Yes,Yes
CUST-21900,Ryan,Adams,Male,39,36-50,1985-06-30,Married,Bachelor,Finance,Salaried,Premium,Gold,Active,Yes,Yes,Yes,No
CUST-15818,Rebecca,Allen,Female,35,26-35,1989-04-02,Married,Bachelor,Professional,Salaried,Premium,Gold,Active,Yes,Yes,Yes,No
CUST-25732,Stephanie,Smith,Female,57,51-65,1966-09-15,Married,Master,Management,Self-Employed,Emerging,Gold,Active,Yes,Yes,No,Yes
CUST-27761,Helen,Brown,Female,54,51-65,1970-04-04,Married,High School,Services,Salaried,Standard,Bronze,Active,No,Yes,Yes,Yes
CUST-13129,Ashley,Walker,Female,38,36-50,1985-08-20,Married,Doctorate,Technology,Salaried,Premium,Platinum,Active,Yes,Yes,Yes,Yes
CUST-15469,Nancy,Lopez,Female,45,36-50,1979-06-04,Married,Bachelor,Technology,Salaried,Premium,Gold,Inactive,Yes,Yes,Yes,Yes
CUST-29203,Brenda,Scott,Female,49,36-50,1974-12-31,Married,Bachelor,Management,Salaried,Premium,Platinum,Active,Yes,Yes,No,Yes
CUST-20883,Donald,Lee,Male,40,36-50,1983-07-24,Single,Bachelor,Technology,Salaried,Premium,Gold,Active,Yes,Yes,Yes,No
CUST-19995,Jacob,Wright,Male,28,26-35,1995-11-18,Single,Bachelor,Sales,Salaried,Premium,Gold,Active,Yes,Yes,Yes,Yes
CUST-25165,Frank,Williams,Male,30,26-35,1993-07-07,Married,Associate,Administrative,Salaried,Standard,Silver,Active,Yes,Yes,Yes,Yes
CUST-29581,Sarah,Adams,Female,46,36-50,1978-04-22,Married,Bachelor,Professional,Salaried,Premium,Platinum,Active,Yes,Yes,Yes,Yes
CUST-29763,Kimberly,Torres,Female,23,18-25,2000-08-10,Single,Master,Healthcare,Salaried,Emerging,Silver,Active,No,Yes,Yes,No
CUST-29830,Mary,Miller,Female,43,36-50,1980-09-24,Married,Bachelor,Professional,Salaried,Premium,Gold,Active,Yes,Yes,Yes,Yes
CUST-21188,Rebecca,Johnson,Female,39,36-50,1984-08-16,Married,High School,Skilled Labor,Salaried,Standard,Gold,Active,Yes,Yes,No,No
CUST-25351,Joshua,Thompson,Male,39,36-50,1984-12-19,Married,High School,Skilled Labor,Salaried,Standard,Silver,Active,No,Yes,Yes,Yes
CUST-12118,Brenda,Moore,Female,37,36-50,1986-09-09,Married,High School,Skilled Labor,Salaried,Emerging,Silver,Active,Yes,Yes,Yes,Yes
CUST-14059,Dorothy,Garcia,Female,39,36-50,1984-10-08,Divorced,Bachelor,Healthcare,Self-Employed,Standard,Gold,Inactive,Yes,Yes,Yes,No
CUST-18899,Ronald,Hall,Male,54,51-65,1970-03-11,Single,Associate,Sales,Self-Employed,Premium,Silver,Active,Yes,Yes,Yes,Yes
CUST-29143,Brenda,Nelson,Female,44,36-50,1979-11-20,Married,Master,Professional,Salaried,Premium,Platinum,Active,Yes,Yes,Yes,Yes
CUST-19935,Patrick,Moore,Male,26,26-35,1997-09-03,Single,Bachelor,Professional,Salaried,Premium,Gold,Active,No,Yes,Yes,Yes
CUST-26996,Jason,Lewis,Male,56,51-65,1967-08-16,Married,Bachelor,Technology,Salaried,High Value,Platinum,Active,Yes,Yes,Yes,Yes
CUST-19130,Amanda,Hall,Female,35,26-35,1988-08-22,Married,Bachelor,Professional,Salaried,Premium,Gold,Active,Yes,Yes,No,Yes
CUST-18514,Angela,Nelson,Female,20,18-25,2004-04-25,Married,Bachelor,Student,Unemployed,Emerging,Bronze,Active,Yes,No,No,Yes
